value;name;position;display_name;bonus;bonus_weighted;bps;bps_weighted;total_points;total_points_weighted;vpc_ratio;vpc_ratio_weighted
4.2;Adrian Mariappa 382;Defender;Adrian Mariappa;0.07692307692307693;0.003205128205128205;9.692307692307692;0.42446097644654235;1.8461538461538463;0.08207115716401053;0.43956043956043955;0.019540751705716793
4.7;Adrien Sebastian Perruchet Silva 231;Midfielder;Adrien Sebastian Perruchet Silva;0.0;0.0;0.6153846153846154;0.023846153846153847;0.11538461538461539;0.004497041420118344;0.024549918166939445;0.0009568173234294348
4.3;Adrián San Miguel del Castillo 399;Goalkeeper;Adrián San Miguel del Castillo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.4;Ainsley Maitland-Niles 20;Midfielder;Ainsley Maitland-Niles;0.11538461538461539;0.005087505087505087;3.8846153846153846;0.1650636535454349;0.9230769230769231;0.03961079144277524;0.2097902097902098;0.009002452600630735
4.1;Alberto Moreno 240;Defender;Alberto Moreno;0.0;0.0;0.9230769230769231;0.03774928774928775;0.15384615384615385;0.006345506345506346;0.0375234521575985;0.0015476844745137429
6.5;Aleksandar Mitrovic 480;Forward;Aleksandar Mitrovic;0.46153846153846156;0.019719612110916458;12.5;0.5410301348107193;4.076923076923077;0.17857176138288616;0.6272189349112426;0.02747257867429018
5.4;Alex Iwobi 15;Midfielder;Alex Iwobi;0.038461538461538464;0.0014792899408284025;9.76923076923077;0.43000359525927195;2.576923076923077;0.1141625303282582;0.4772079772079772;0.021141209320047812
4.4;Alex McCarthy 328;Goalkeeper;Alex McCarthy;0.23076923076923078;0.009263044647660033;15.923076923076923;0.7097391897774752;2.8076923076923075;0.12376425127481279;0.638111888111888;0.028128238926093813
6.4;Alex Oxlade-Chamberlain 248;Midfielder;Alex Oxlade-Chamberlain;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.8;Alex Pritchard 206;Midfielder;Alex Pritchard;0.0;0.0;5.576923076923077;0.25251432553051983;1.7307692307692308;0.07584569517855912;0.36057692307692313;0.01580118649553315
4.3;Alex Smithies 89;Goalkeeper;Alex Smithies;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.8;Alexander Sørloth 153;Forward;Alexander Sørloth;0.0;0.0;1.2307692307692308;0.053214514921080674;0.46153846153846156;0.020377959074051308;0.09615384615384616;0.004245408140427356
