,assists_x,bonus_x,bps_x,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets_x,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity_x,dreamteam_count,ea_index_x,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded_x,goals_scored_x,ict_index_x,id_x,in_dreamteam,influence_x,loaned_in_x,loaned_out_x,loans_in,loans_out,minutes_x,news,news_added,now_cost,own_goals_x,penalties_missed_x,penalties_saved_x,photo,points_per_game,red_cards_x,saves_x,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat_x,total_points_x,transfers_in_x,transfers_in_event,transfers_out_x,transfers_out_event,value_form,value_season,web_name,yellow_cards_x,name,position,assists_y,attempted_passes,big_chances_created,big_chances_missed,bonus_y,bps_y,clean_sheets_y,clearances_blocks_interceptions,completed_passes,creativity_y,dribbles,ea_index_y,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded_y,goals_scored_y,ict_index_y,id_y,influence_y,key_passes,loaned_in_y,loaned_out_y,minutes_y,offside,open_play_crosses,opponent_team,own_goals_y,penalties_conceded,penalties_missed_y,penalties_saved_y,recoveries,red_cards_y,round,saves_y,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat_y,total_points_y,transfers_balance,transfers_in_y,transfers_out_y,value,was_home,winning_goals,yellow_cards_y,vpc_ratio
389,0.0,3.0,136.0,None,None,2.0,88734.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.8,2.3,1.0,Neil,3.3,9.0,0.0,20.0,88.0,True,200.6,0.0,0.0,0.0,0.0,450.0,,None,46.0,0.0,0.0,2.0,88734.jpg,6.4,0.0,20.0,Etheridge,8.0,False,1,a,5.0,97.0,0.0,32.0,398035.0,36273.0,79959.0,17622.0,0.7,7.0,Etheridge,0.0,Neil Etheridge,Goalkeeper,0.0,25.5,0.0,0.0,0.0,24.5,0.5,1.0,8.0,0.0,0.0,0.0,88.0,0.0,0.0,18.5,0.0,1.0,0.0,4.8,876.5,47.9,0.0,0.0,0.0,90.0,0.0,0.0,6.0,0.0,0.0,0.0,0.5,7.0,0.0,2.5,4.0,116572.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,48681.0,58927.0,9030.5,4.5,0.5,0.0,0.0,1.3333333333333333
390,0.0,0.0,30.0,0,100,1.0,62398.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,3.0,0.0,1.8,-1.0,Nemanja,1.3,3.0,0.0,7.6,296.0,False,26.0,0.0,0.0,0.0,0.0,240.0,Suspended until 29 Sep,2018-09-15T18:31:16Z,50.0,0.0,0.0,0.0,62398.jpg,1.3,1.0,0.0,Matic,0.6,False,31,s,14.0,1.0,25.0,4.0,12294.0,853.0,28660.0,6631.0,0.3,0.8,Matic,0.0,Nemanja Matic,Midfielder,0.0,20.5,0.0,0.0,0.0,4.5,0.0,0.0,16.0,0.0,0.0,0.0,296.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,1084.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,3.5,0.0,2.5,0.0,33400.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,-2686.0,619.5,4392.5,5.0,0.5,0.0,0.0,0.2
391,0.0,0.0,0.0,0,0,0.0,98747.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Nick,0.0,0.0,0.0,0.0,68.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Shoulder Dislocation - Unknown return date,2018-07-27T07:01:08Z,49.0,0.0,0.0,0.0,98747.jpg,0.0,0.0,0.0,Pope,0.2,False,29,i,4.0,90.0,0.0,0.0,340.0,40.0,11596.0,613.0,0.0,0.0,Pope,0.0,Nick Pope,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,0.0,0.0,28.0,None,None,1.0,57410.0,-1.0,1.0,-4.0,4.0,1.8,0.0,0.0,2.0,3.5,3.5,6.0,Nicolás,2.0,0.0,0.0,3.0,264.0,False,19.8,0.0,0.0,0.0,0.0,90.0,,None,61.0,0.0,0.0,0.0,57410.jpg,6.0,0.0,0.0,Otamendi,3.1,False,30,a,13.0,43.0,8.0,6.0,10863.0,4386.0,292513.0,3991.0,0.3,1.0,Otamendi,0.0,Nicolás Otamendi,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,0.0,0.0,0.0,0,0,0.0,180151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Nikola,0.0,0.0,0.0,0.0,173.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Season-long loan to CSKA Moscow,2018-08-16T07:11:50Z,50.0,0.0,0.0,0.0,180151.jpg,0.0,0.0,0.0,Vlasic,0.0,False,27,u,8.0,11.0,0.0,0.0,69.0,2.0,1312.0,38.0,0.0,0.0,Vlasic,0.0,Nikola Vlasic,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,0.0,0.0,0.0,None,None,0.0,206325.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,3.0,1.5,1.5,0.0,Oleksandr,0.0,0.0,0.0,0.0,279.0,False,0.0,0.0,0.0,0.0,0.0,0.0,,None,48.0,0.0,0.0,0.0,206325.jpg,0.0,0.0,0.0,Zinchenko,0.0,False,35,a,13.0,43.0,0.0,0.0,293.0,38.0,1383.0,90.0,0.0,0.0,Zinchenko,0.0,Oleksandr Zinchenko,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,3.0,2.0,51.0,None,None,0.0,44346.0,0.0,0.0,-2.0,2.0,111.1,0.0,0.0,4.0,5.5,6.0,10.0,Olivier,5.0,2.0,0.0,28.9,133.0,False,70.8,0.0,0.0,0.0,0.0,159.0,,None,78.0,0.0,0.0,0.0,44346.jpg,4.0,0.0,0.0,Giroud,2.7,False,18,a,6.0,8.0,108.0,16.0,37267.0,25310.0,104356.0,5724.0,0.6,2.1,Giroud,0.0,Olivier Giroud,Forward,0.0,7.5,0.0,0.0,0.0,2.5,0.0,0.0,6.5,16.85,0.0,0.0,133.0,0.0,0.0,20.5,1.0,0.0,0.0,4.4,921.5,5.300000000000001,1.5,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,156893.0,0.0,0.0,0.0,2.0,1.5,11.5,1.0,-24023.0,1935.5,25996.0,7.95,0.5,0.0,0.0,0.12578616352201258
396,0.0,0.0,0.0,0,0,0.0,114054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Omar,0.0,0.0,0.0,0.0,108.0,False,0.0,0.0,0.0,0.0,0.0,0.0,Season-long loan to Birmingham City,2018-08-08T08:43:30Z,45.0,0.0,0.0,0.0,114054.jpg,0.0,0.0,0.0,Bogle,0.2,False,30,u,5.0,97.0,0.0,0.0,846.0,95.0,8508.0,471.0,0.0,0.0,Bogle,0.0,Omar Bogle,Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,0.0,0.0,20.0,None,None,1.0,78056.0,-1.0,1.0,-1.0,1.0,5.2,0.0,0.0,3.0,-0.3,1.2,0.0,Oriol,0.7,3.0,0.0,4.8,339.0,False,24.2,0.0,0.0,0.0,0.0,184.0,,None,44.0,0.0,0.0,0.0,78056.jpg,1.5,0.0,0.0,Romeu Vidal,2.0,False,14,a,16.0,20.0,18.0,6.0,26706.0,392.0,67949.0,8770.0,0.2,1.3,Oriol Romeu,1.0,Oriol Romeu Vidal,Midfielder,0.0,17.0,0.0,0.0,0.0,3.0,0.0,1.0,12.0,0.4,0.0,0.0,339.0,0.0,0.0,22.0,0.0,0.5,0.0,0.75,1127.5,3.1,0.0,0.0,0.0,41.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,3.5,0.0,2.5,0.0,142520.5,0.0,0.0,0.0,1.5,0.5,4.0,1.0,-5635.0,4836.0,13764.0,4.5,0.5,0.0,0.0,0.2222222222222222
398,0.0,0.0,-2.0,None,None,0.0,113688.0,0.0,0.0,-2.0,2.0,13.1,0.0,0.0,4.0,0.2,0.7,1.0,Oumar,0.7,0.0,0.0,2.9,176.0,False,2.8,0.0,0.0,0.0,0.0,48.0,,None,53.0,0.0,0.0,0.0,113688.jpg,1.0,0.0,0.0,Niasse,0.5,False,19,a,8.0,11.0,16.0,4.0,5886.0,558.0,31937.0,2426.0,0.1,0.8,Niasse,0.0,Oumar Niasse,Forward,0.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.5,0.0,0.0,176.0,0.0,0.0,19.0,0.0,0.0,0.0,0.25,964.5,0.3,0.0,0.0,0.0,6.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,40120.5,1.0,0.0,0.0,1.5,2.0,2.0,1.0,-6373.5,1161.0,7657.0,5.45,0.5,0.0,0.0,0.18348623853211007
